"Id","English","Kana","Romaji","Trademark"
"001","Bulbasaur","フシギダネ","Fushigidane","Fushigidane"
"002","Ivysaur","フシギソウ","Fushigisō","Fushigisou"
"003","Venusaur","フシギバナ","Fushigibana","Fushigibana"
"004","Charmander","ヒトカゲ","Hitokage","Hitokage"
"005","Charmeleon","リザード","Rizādo","Lizardo"
"006","Charizard","リザードン","Rizādon","Lizardon"
"007","Squirtle","ゼニガメ","Zenigame","Zenigame"
"008","Wartortle","カメール","Kamēru","Kameil"
"009","Blastoise","カメックス","Kamekkusu","Kamex"
"010","Caterpie","キャタピー","Kyatapī","Caterpie"
"011","Metapod","トランセル","Toranseru","Trancell"
"012","Butterfree","バタフリー","Batafurī","Butterfree"
"013","Weedle","ビードル","Bīdoru","Beedle"
"014","Kakuna","コクーン","Kokūn","Cocoon"
"015","Beedrill","スピアー","Supiā","Spear"
"016","Pidgey","ポッポ","Poppo","Poppo"
"017","Pidgeotto","ピジョン","Pijon","Pigeon"
"018","Pidgeot","ピジョット","Pijotto","Pigeot"
"019","Rattata","コラッタ","Koratta","Koratta"
"020","Raticate","ラッタ","Ratta","Ratta"
"021","Spearow","オニスズメ","Onisuzume","Onisuzume"
"022","Fearow","オニドリル","Onidoriru","Onidrill"
"023","Ekans","アーボ","Ābo","Arbo"
"024","Arbok","アーボック","Ābokku","Arbok"
"025","Pikachu","ピカチュウ","Pikachū","Pikachu"
"026","Raichu","ライチュウ","Raichū","Raichu"
"027","Sandshrew","サンド","Sando","Sand"
"028","Sandslash","サンドパン","Sandopan","Sandpan"
"029","Nidoran♀","ニドラン♀","Nidoran Mesu","Nidoran♀"
"030","Nidorina","ニドリーナ","Nidorīna","Nidorina"
"031","Nidoqueen","ニドクイン","Nidokuin","Nidoqueen"
"032","Nidoran♂","ニドラン♂","Nidoran Osu","Nidoran♂"
"033","Nidorino","ニドリーノ","Nidorīno","Nidorino"
"034","Nidoking","ニドキング","Nidokingu","Nidoking"
"035","Clefairy","ピッピ","Pippi","Pippi"
"036","Clefable","ピクシー","Pikushī","Pixy"
"037","Vulpix","ロコン","Rokon","Rokon"
"038","Ninetales","キュウコン","Kyūkon","Kyukon"
"039","Jigglypuff","プリン","Purin","Purin"
"040","Wigglytuff","プクリン","Pukurin","Pukurin"
"041","Zubat","ズバット","Zubatto","Zubat"
